--- InfraView Thermal Data Log ---
Date: 2025-12-24 14:13:24
Mode: Region (ROI) Measurement
Settings: Duration=80s, Interval=0.50s
----------------------------------------
Time(s), Temperature(C)
0.14, 71.15
0.62, 70.74
1.08, 70.49
1.55, 70.30
2.04, 70.01
2.53, 69.71
3.04, 69.42
3.67, 69.08
4.00, 68.79
4.62, 68.36
5.09, 68.08
5.58, 67.78
6.04, 67.61
6.63, 67.23
7.11, 66.92
7.58, 66.63
8.04, 66.36
8.52, 66.06
9.16, 65.69
9.65, 65.44
10.09, 65.18
10.58, 64.94
11.05, 64.57
11.54, 64.37
12.16, 64.04
12.65, 63.86
13.11, 63.62
13.56, 63.39
14.05, 63.13
14.53, 62.92
15.13, 62.63
15.59, 62.40
16.07, 62.16
16.54, 61.94
17.02, 61.66
17.59, 61.39
18.08, 61.25
18.53, 61.04
19.13, 60.71
19.62, 60.49
20.08, 60.25
20.66, 59.95
21.13, 59.69
21.62, 59.44
22.09, 59.21
22.60, 59.01
23.06, 58.91
23.51, 58.69
24.17, 58.33
24.62, 58.17
25.11, 57.91
25.58, 57.72
26.05, 57.55
26.51, 57.34
27.15, 57.02
27.59, 56.82
28.10, 56.62
28.57, 56.45
29.03, 56.25
29.53, 56.11
30.16, 55.80
30.62, 55.53
31.09, 55.32
31.58, 55.15
32.02, 55.03
32.64, 54.89
33.12, 54.66
33.59, 54.43
34.06, 54.32
34.55, 54.08
35.02, 53.98
35.65, 53.74
36.09, 53.61
36.59, 53.46
37.07, 53.37
37.54, 53.16
38.01, 53.01
38.63, 52.73
39.09, 52.41
39.55, 52.39
40.01, 52.34
40.64, 52.09
41.12, 51.92
41.58, 51.72
42.05, 51.49
42.65, 51.37
43.12, 51.17
43.60, 50.96
44.05, 50.74
44.62, 50.55
45.11, 50.50
45.53, 50.37
46.01, 50.27
46.64, 50.08
47.12, 49.85
47.59, 49.73
48.06, 49.59
48.55, 49.47
49.05, 49.28
49.52, 49.16
50.14, 49.05
50.63, 48.89
51.11, 48.76
51.58, 48.52
52.06, 48.50
52.53, 48.33
53.15, 48.15
53.63, 48.04
54.07, 47.92
54.52, 47.76
55.10, 47.66
55.57, 47.53
56.03, 47.42
56.50, 47.32
57.11, 47.15
57.59, 47.00
58.04, 46.89
58.53, 46.72
59.14, 46.45
59.60, 46.41
60.09, 46.29
60.58, 46.18
61.05, 46.11
61.51, 45.97
62.13, 45.66
62.57, 45.50
63.05, 45.38
63.54, 45.38
64.02, 45.27
64.52, 45.13
65.01, 44.96
65.65, 44.83
66.14, 44.72
66.62, 44.51
67.09, 44.48
67.56, 44.42
68.04, 44.18
68.51, 44.15
69.12, 43.95
69.61, 43.89
70.10, 43.75
70.59, 43.69
71.05, 43.59
71.51, 43.54
72.14, 43.27
72.63, 43.14
73.09, 43.09
73.57, 42.97
74.04, 42.90
74.56, 42.74
75.03, 42.67
75.66, 42.46
76.14, 42.39
76.60, 42.27
77.08, 42.24
77.56, 42.13
78.05, 42.07
78.52, 41.89
79.01, 41.84
79.50, 41.72
