--- InfraView Thermal Data Log ---
Date: 2025-12-24 14:02:53
Mode: Region (ROI) Measurement
Settings: Duration=80s, Interval=0.50s
----------------------------------------
Time(s), Temperature(C)
0.18, 68.46
0.68, 68.05
1.13, 67.49
1.59, 67.05
2.09, 66.63
2.51, 66.17
3.11, 65.53
3.58, 65.21
4.04, 64.72
4.52, 64.26
5.07, 63.78
5.62, 63.23
6.03, 62.85
6.59, 62.13
7.11, 61.54
7.57, 61.13
8.07, 60.80
8.55, 60.45
9.02, 60.08
9.62, 59.59
10.08, 59.34
10.57, 58.75
11.02, 58.42
11.64, 57.79
12.09, 57.58
12.56, 57.34
13.08, 56.87
13.54, 56.52
14.00, 56.23
14.62, 55.71
15.09, 55.53
15.57, 55.18
16.04, 54.83
16.64, 54.53
17.11, 54.32
17.56, 54.11
18.06, 53.86
18.55, 53.73
19.02, 53.36
19.62, 52.78
20.10, 52.53
20.58, 52.28
21.12, 51.97
21.63, 51.61
22.09, 51.53
22.58, 51.29
23.05, 51.07
23.53, 50.86
24.13, 50.56
24.62, 50.29
25.09, 50.06
25.60, 49.71
26.09, 49.48
26.53, 49.22
27.01, 49.05
27.66, 48.67
28.13, 48.31
28.60, 48.10
29.06, 47.98
29.54, 47.74
30.02, 47.57
30.62, 47.32
31.11, 47.16
31.60, 47.01
32.08, 46.96
32.57, 46.65
33.03, 46.59
33.54, 46.30
34.06, 46.01
34.51, 45.88
35.01, 45.59
35.62, 45.33
36.07, 45.18
36.53, 44.90
37.10, 44.73
37.58, 44.61
38.02, 44.40
38.68, 44.19
39.14, 43.96
39.61, 43.86
40.04, 43.65
40.51, 43.39
41.09, 43.11
41.56, 43.01
42.06, 42.89
42.56, 42.72
43.04, 42.65
43.66, 42.39
44.11, 42.19
44.61, 42.07
45.08, 41.94
45.55, 41.64
46.01, 41.62
46.61, 41.24
47.08, 40.86
47.55, 40.69
48.01, 40.72
48.59, 40.62
49.08, 40.51
49.58, 40.30
50.05, 40.17
50.54, 40.06
51.06, 39.93
51.53, 39.81
52.16, 39.50
52.65, 39.41
53.09, 39.26
53.54, 39.09
54.01, 38.98
54.58, 38.76
55.07, 38.69
55.53, 38.52
56.12, 38.47
56.58, 38.23
57.03, 38.12
57.65, 38.11
58.10, 37.94
58.60, 37.83
59.05, 37.77
59.53, 37.63
60.00, 37.47
60.62, 37.34
61.07, 37.24
61.56, 37.23
62.01, 37.16
62.65, 37.07
63.09, 36.87
63.54, 36.77
64.01, 36.65
64.63, 36.63
65.07, 36.40
65.54, 36.28
66.04, 36.20
66.51, 36.09
67.10, 36.01
67.63, 35.96
68.10, 35.88
68.58, 35.82
69.08, 35.60
69.57, 35.44
70.01, 35.48
70.51, 35.28
71.11, 35.36
71.58, 35.35
72.06, 35.24
72.52, 35.14
73.02, 35.00
73.63, 34.92
74.13, 34.97
74.59, 34.87
75.05, 34.74
75.52, 34.66
76.03, 34.58
76.66, 34.55
77.13, 34.53
77.59, 34.49
78.06, 34.38
78.51, 34.25
79.15, 34.23
79.60, 34.06
