--- InfraView Thermal Data Log ---
Date: 2025-12-24 15:01:54
Mode: Region (ROI) Measurement
Settings: Duration=80s, Interval=0.50s
----------------------------------------
Time(s), Temperature(C)
0.15, 39.67
0.63, 39.53
1.09, 39.51
1.56, 39.38
2.03, 39.28
2.65, 39.16
3.12, 39.04
3.59, 39.00
4.06, 38.98
4.53, 38.91
5.15, 38.79
5.62, 38.63
6.09, 38.59
6.55, 38.53
7.02, 38.46
7.65, 38.35
8.11, 38.32
8.58, 38.19
9.05, 38.11
9.52, 38.06
10.02, 38.03
10.65, 37.85
11.11, 37.82
11.58, 37.78
12.05, 37.69
12.52, 37.64
13.12, 37.50
13.59, 37.47
14.06, 37.41
14.52, 37.22
15.14, 37.17
15.62, 37.08
16.09, 37.05
16.56, 36.98
17.03, 36.87
17.65, 36.84
18.12, 36.77
18.59, 36.67
19.06, 36.61
19.53, 36.56
20.15, 36.49
20.62, 36.44
21.09, 36.33
21.56, 36.28
22.03, 36.16
22.65, 36.12
23.12, 36.00
23.59, 35.94
24.05, 35.92
24.52, 35.85
25.15, 35.79
25.61, 35.68
26.08, 35.59
26.56, 35.47
27.03, 35.55
27.66, 35.50
28.11, 35.47
28.56, 35.42
29.03, 35.36
29.65, 35.23
30.12, 35.20
30.59, 35.02
31.05, 35.07
31.52, 35.01
32.14, 34.97
32.61, 34.90
33.09, 34.85
33.56, 34.74
34.05, 34.75
34.52, 34.56
35.14, 34.61
35.58, 34.48
36.05, 34.41
36.52, 34.37
37.14, 34.36
37.61, 34.19
38.07, 34.11
38.54, 34.04
39.03, 34.12
39.51, 34.07
40.12, 33.96
40.58, 33.95
41.05, 33.82
41.52, 33.76
42.13, 33.73
42.60, 33.67
43.06, 33.62
43.50, 33.56
44.11, 33.46
44.61, 33.41
45.07, 33.38
45.55, 33.32
46.01, 33.28
46.63, 33.25
47.10, 33.16
47.57, 33.11
48.04, 33.05
48.51, 32.99
49.13, 32.91
49.60, 32.88
50.07, 32.83
50.54, 32.82
51.00, 32.78
51.63, 32.72
52.11, 32.74
52.60, 32.57
53.05, 32.55
53.66, 32.49
54.12, 32.40
54.59, 32.40
55.05, 32.38
55.53, 32.34
56.15, 32.30
56.63, 32.21
57.09, 32.17
57.56, 32.14
58.02, 32.13
58.65, 32.11
59.12, 32.03
59.58, 31.95
60.06, 31.96
60.52, 31.96
61.16, 31.79
61.61, 31.76
62.08, 31.70
62.55, 31.63
63.02, 31.66
63.64, 31.62
64.10, 31.61
64.57, 31.59
65.04, 31.57
65.51, 31.52
66.13, 31.47
66.60, 31.39
67.07, 31.35
67.54, 31.27
68.00, 31.26
68.61, 31.22
69.08, 31.17
69.55, 31.23
70.02, 31.15
70.64, 31.12
71.11, 31.07
71.58, 31.03
72.05, 30.98
72.52, 30.92
73.15, 30.91
73.62, 30.90
74.09, 30.85
74.55, 30.81
75.02, 30.81
75.64, 30.69
76.11, 30.67
76.58, 30.56
77.05, 30.50
77.52, 30.41
78.14, 30.36
78.61, 30.36
79.08, 30.29
79.56, 30.31
