--- InfraView Thermal Data Log ---
Date: 2025-12-24 14:43:32
Mode: Region (ROI) Measurement
Settings: Duration=80s, Interval=0.50s
----------------------------------------
Time(s), Temperature(C)
0.17, 41.15
0.64, 40.92
1.09, 40.67
1.56, 40.42
2.17, 40.09
2.61, 39.87
3.09, 39.65
3.58, 39.33
4.04, 39.08
4.53, 39.00
5.02, 38.81
5.63, 38.61
6.11, 38.43
6.58, 38.31
7.03, 38.11
7.60, 37.93
8.05, 37.85
8.53, 37.68
9.15, 37.52
9.58, 37.40
10.07, 37.36
10.54, 37.21
11.12, 37.11
11.59, 36.93
12.07, 36.83
12.65, 36.70
13.13, 36.53
13.59, 36.53
14.08, 36.40
14.55, 36.32
15.03, 36.14
15.51, 36.06
16.15, 36.01
16.63, 35.89
17.06, 35.84
17.52, 35.74
18.01, 35.79
18.59, 35.62
19.02, 35.54
19.63, 35.44
20.06, 35.40
20.53, 35.28
21.13, 35.32
21.64, 35.28
22.14, 35.13
22.63, 35.01
23.11, 34.97
23.60, 34.92
24.03, 34.86
24.51, 34.82
25.10, 34.67
25.54, 34.60
26.13, 34.58
26.59, 34.53
27.06, 34.46
27.53, 34.37
28.13, 34.35
28.57, 34.33
29.10, 34.25
29.58, 34.18
30.03, 34.24
30.64, 34.16
31.13, 34.12
31.63, 34.09
32.15, 34.07
32.61, 34.03
33.08, 34.02
33.54, 33.96
34.02, 33.92
34.62, 33.78
35.11, 33.78
35.57, 33.78
36.02, 33.72
36.58, 33.62
37.01, 33.62
37.52, 33.66
38.09, 33.63
38.57, 33.61
39.02, 33.55
39.61, 33.53
40.05, 33.46
40.52, 33.43
41.12, 33.27
41.55, 33.18
42.11, 33.24
42.57, 33.17
43.04, 33.13
43.65, 33.17
44.13, 33.14
44.58, 33.04
45.02, 33.04
45.52, 33.01
46.02, 32.94
46.64, 32.86
47.14, 32.84
47.60, 32.83
48.07, 32.72
48.54, 32.72
49.12, 32.70
49.60, 32.64
50.05, 32.60
50.64, 32.44
51.01, 32.39
51.62, 32.35
52.07, 32.28
52.53, 32.26
53.00, 32.32
53.61, 32.30
54.05, 32.22
54.53, 32.16
55.12, 32.16
55.53, 31.95
56.13, 31.98
56.60, 31.98
57.05, 31.96
57.64, 31.91
58.13, 31.85
58.62, 31.81
59.04, 31.77
59.51, 31.73
60.11, 31.80
60.60, 31.71
61.06, 31.65
61.53, 31.59
62.02, 31.51
62.50, 31.49
63.01, 31.51
63.66, 31.43
64.16, 31.50
64.65, 31.39
65.13, 31.42
65.59, 31.37
66.05, 31.34
66.63, 31.27
67.08, 31.21
67.64, 31.18
68.12, 31.26
68.62, 31.19
69.11, 31.16
69.57, 31.12
70.05, 31.06
70.52, 31.11
71.15, 31.08
71.62, 31.03
72.04, 31.00
72.66, 30.80
73.12, 30.90
73.61, 30.89
74.04, 30.81
74.50, 30.80
75.10, 30.84
75.56, 30.69
76.01, 30.73
76.60, 30.75
77.07, 30.75
77.54, 30.74
78.17, 30.75
78.65, 30.68
79.12, 30.63
79.58, 30.63
