--- InfraView Thermal Data Log ---
Date: 2025-12-24 14:22:46
Mode: Region (ROI) Measurement
Settings: Duration=80s, Interval=0.50s
----------------------------------------
Time(s), Temperature(C)
1.12, 83.54
1.59, 80.57
2.05, 79.46
2.64, 78.70
3.13, 78.10
3.60, 77.67
4.08, 77.12
4.56, 76.65
5.02, 76.17
5.51, 75.61
6.14, 75.11
6.60, 74.63
7.07, 74.34
7.54, 73.87
8.15, 73.24
8.63, 72.96
9.12, 72.59
9.58, 72.19
10.08, 71.79
10.54, 71.40
11.02, 70.98
11.64, 70.50
12.11, 70.16
12.59, 69.73
13.03, 69.36
13.51, 68.89
14.16, 68.25
14.64, 67.90
15.13, 67.61
15.60, 67.21
16.07, 66.80
16.54, 66.48
17.02, 66.14
17.62, 65.70
18.09, 65.34
18.55, 64.91
19.03, 64.56
19.53, 64.17
20.14, 63.89
20.60, 63.53
21.08, 63.10
21.54, 62.83
22.01, 62.57
22.64, 61.92
23.08, 61.61
23.58, 61.29
24.05, 61.02
24.54, 60.79
25.02, 60.46
25.51, 60.09
26.16, 59.72
26.59, 59.50
27.03, 59.14
27.64, 58.78
28.13, 58.49
28.62, 58.19
29.10, 57.77
29.59, 57.74
30.05, 57.43
30.54, 57.05
31.01, 56.89
31.50, 56.60
32.10, 56.14
32.59, 55.78
33.04, 55.61
33.53, 55.42
34.16, 55.20
34.62, 54.99
35.08, 54.69
35.58, 54.48
36.06, 54.32
36.52, 53.97
37.13, 53.66
37.62, 53.34
38.10, 53.07
38.55, 52.94
39.02, 52.65
39.61, 52.33
40.08, 52.22
40.54, 52.03
41.00, 51.80
41.63, 51.39
42.13, 51.14
42.63, 50.85
43.10, 50.59
43.59, 50.33
44.07, 50.13
44.54, 49.98
45.01, 49.73
45.66, 49.46
46.01, 49.41
46.67, 49.05
47.13, 48.83
47.59, 48.68
48.07, 48.42
48.54, 48.18
49.17, 47.93
49.63, 47.71
50.08, 47.51
50.54, 47.39
51.02, 47.23
51.64, 46.87
52.11, 46.51
52.59, 46.39
53.05, 46.32
53.53, 46.07
54.01, 45.87
54.65, 45.58
55.00, 45.54
55.63, 45.28
56.11, 45.14
56.62, 44.98
57.09, 44.88
57.53, 44.71
58.11, 44.55
58.61, 44.40
59.07, 44.24
59.50, 44.10
60.13, 43.82
60.61, 43.73
61.07, 43.47
61.54, 43.31
62.01, 43.22
62.61, 42.98
63.07, 42.70
63.54, 42.55
64.01, 42.40
64.63, 42.21
65.09, 41.99
65.57, 41.87
66.05, 41.67
66.51, 41.58
67.01, 41.38
67.66, 41.23
68.12, 41.11
68.62, 40.93
69.08, 40.87
69.54, 40.77
70.02, 40.62
70.50, 40.24
71.10, 40.19
71.55, 40.08
72.01, 39.87
72.51, 39.80
73.13, 39.52
73.62, 39.41
74.11, 39.27
74.57, 39.16
75.03, 39.07
75.52, 38.87
76.10, 38.71
76.58, 38.61
77.05, 38.56
77.51, 38.37
78.12, 38.18
78.59, 38.05
79.07, 37.96
79.57, 37.84
